1,58,54,56,67,65,88,79,73,79,84,61,61,62,59,82,55,74,55,61,64
2,55,71,65,59,65,63,59,79,64,55,54,67,61,55,64,61,64,73,55,65
3,57,57,70,48,67,59,65,64,65,59,63,59,67,55,61,61,54,54,64,59
4,71,60,83,66,59,62,54,59,55,57,54,59,59,57,59,57,57,59,48,65
5,67,54,57,62,59,67,59,54,59,60,54,62,57,57,57,59,59,59,48,59
6,66,64,57,69,70,61,57,57,59,59,57,57,59,54,59,54,57,54,59,59
7,56,69,64,79,54,65,57,59,57,61,54,59,57,57,54,59,54,59,59,54
8,75,54,62,54,73,71,54,57,54,54,59,59,57,54,56,54,57,54,57,54
9,62,56,54,54,54,57,54,54,54,54,73,54,54,54,57,54,54,57,54,57
10,53,54,54,54,61,54,54,54,54,54,54,54,57,54,54,54,54,54,54,54
11,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
12,54,54,54,54,54,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54
13,54,54,54,54,54,54,54,52,54,54,54,54,54,54,52,54,54,54,54,54
14,52,54,54,54,54,54,54,54,54,54,54,54,52,54,54,52,54,52,54,54
15,54,54,52,58,52,52,54,52,54,54,54,52,52,52,54,52,52,54,54,52
16,49,52,55,54,52,52,52,54,52,52,52,54,52,52,52,52,52,52,52,52
17,52,52,49,52,52,52,52,52,52,52,52,52,52,52,52,52,52,49,52,52
18,49,49,52,52,52,52,52,52,52,49,49,52,52,52,49,49,52,52,52,49
19,52,52,52,49,49,49,52,52,52,52,49,52,49,52,49,52,52,49,49,49
20,49,49,52,50,49,49,52,49,49,49,52,49,49,52,52,52,52,49,49,52
21,49,49,49,52,50,49,49,49,49,49,49,52,49,49,52,50,49,49,49,49
22,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
23,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
24,49,49,49,47,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
25,49,47,49,49,49,49,47,47,49,49,47,49,49,49,49,49,49,49,49,49
26,47,47,47,49,47,49,49,49,49,49,49,49,49,49,49,49,47,49,49,49
27,49,47,49,47,49,45,49,49,49,49,47,49,47,47,49,49,49,47,47,47
28,47,41,47,47,45,44,49,47,47,47,49,47,49,47,47,47,47,49,47,47
29,47,47,50,47,53,44,47,47,47,47,47,47,47,49,47,47,47,47,44,47
30,47,47,47,44,44,50,44,47,47,47,47,47,47,44,47,50,47,44,44,47
31,47,44,44,44,44,45,44,47,47,47,44,44,44,47,47,44,47,47,44,47
32,44,47,48,44,57,40,44,44,44,44,44,47,47,44,44,44,44,44,44,44
33,49,44,44,44,50,45,44,44,44,44,44,44,44,44,44,44,44,44,40,44
34,44,44,43,44,47,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
35,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,44,44,43,44
36,43,41,44,43,44,43,44,41,44,44,41,41,44,44,44,41,44,44,44,44
37,44,41,43,53,52,44,44,43,44,41,41,41,44,41,41,44,41,43,43,41
38,41,44,44,44,44,41,44,41,41,44,43,41,43,41,41,43,41,41,44,43
39,50,41,70,41,41,54,44,41,41,41,43,43,43,41,41,43,41,44,41,41
40,40,41,41,41,41,41,41,43,41,44,44,43,44,41,41,41,43,41,41,41
41,44,41,41,41,41,41,41,41,41,40,43,41,43,41,40,41,41,40,41,41
42,40,44,41,41,41,41,41,40,40,40,40,41,41,40,41,41,41,41,40,41
43,40,40,41,41,41,41,40,40,40,40,41,40,40,40,41,40,41,40,40,41
44,41,40,38,40,40,41,40,41,40,40,40,40,40,41,40,40,40,40,40,41
45,40,40,40,38,41,40,40,40,40,40,38,40,40,41,40,40,40,40,41,40
46,40,42,40,37,49,40,40,40,40,40,40,40,38,40,38,40,40,40,40,38
47,38,40,40,38,40,40,40,40,40,40,40,40,40,40,40,38,40,38,40,40
48,40,50,50,57,52,49,40,40,40,40,40,40,40,40,40,38,38,40,40,38
49,40,52,52,51,40,57,49,40,40,40,38,40,40,38,38,40,40,40,40,40
50,50,40,52,40,38,40,40,40,57,40,38,40,40,38,49,40,38,40,38,40
51,38,38,38,46,52,46,38,40,38,38,38,40,38,38,38,40,38,40,40,40
52,38,38,50,46,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
53,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
54,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
55,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
56,38,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
57,38,38,38,38,38,38,38,38,38,38,38,38,37,38,38,38,38,38,38,38
58,38,38,38,38,38,38,37,38,38,38,38,38,38,38,38,37,38,38,38,38
59,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
60,38,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
61,38,38,38,38,38,38,36,38,36,36,36,38,38,38,38,36,38,36,36,38
62,36,36,37,36,38,36,36,36,36,38,36,38,38,36,38,36,38,36,38,36
63,36,38,36,36,54,36,38,36,36,38,36,36,36,36,36,36,37,38,36,36
64,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,38
65,38,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
66,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
67,36,36,36,36,44,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
68,38,36,36,36,36,55,36,36,36,36,36,36,36,36,36,36,36,36,36,36
69,36,35,36,38,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
70,48,36,36,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35
71,35,36,36,37,36,42,36,35,36,35,35,36,36,36,35,36,36,36,36,35
72,36,36,36,36,33,36,36,35,36,36,35,35,36,35,36,35,36,36,35,35
73,35,36,35,48,35,35,36,36,35,35,33,35,35,33,35,35,36,35,35,35
74,35,35,35,36,35,35,35,33,33,35,35,35,36,35,36,33,35,48,35,35
75,35,35,35,35,35,35,35,33,35,35,35,33,33,35,35,35,33,35,33,36
76,35,35,35,35,33,35,33,35,33,33,33,33,35,33,33,35,35,33,33,33
77,33,33,35,35,33,35,33,33,33,33,33,33,33,33,33,35,33,33,33,33
78,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,33,33,33,33,33
79,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
80,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
81,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
82,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
83,31,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
84,33,33,33,33,33,33,31,33,33,33,33,33,33,33,33,33,33,33,33,33
85,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
86,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
87,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
