11,3,5,2,4,7,9,14,1,6,15,8,12,10,13
11,9,14,15,6,3,12,4,8,1,10,13,2,7,5
10,12,4,3,14,1,15,6,13,2,9,5,8,7,11
4,10,15,11,8,14,12,5,2,6,13,9,3,1,7
6,7,2,13,4,5,15,3,8,1,10,12,14,11,9
11,1,2,9,7,6,10,12,13,4,3,5,8,14,15
9,1,4,12,14,5,10,6,11,3,7,13,2,15,8
12,8,13,6,1,4,3,10,15,2,7,11,9,5,14
12,10,3,2,1,4,13,7,11,15,14,6,5,8,9
7,13,15,1,8,3,9,14,4,2,11,12,6,5,10
3,14,9,11,8,15,13,12,6,7,4,10,2,1,5
10,6,11,2,5,8,15,13,4,12,1,3,7,9,14
6,14,9,15,12,13,1,3,5,4,7,2,8,11,10
4,14,7,2,8,12,6,10,15,3,5,13,11,1,9
3,13,15,4,1,2,8,7,5,6,10,14,9,11,12
10,3,9,13,8,5,6,15,11,12,7,4,2,1,14
11,14,9,1,2,7,12,3,10,4,6,15,5,13,8
4,1,3,11,14,12,10,9,2,8,7,13,5,15,6
7,10,6,4,1,3,12,15,8,14,13,11,9,2,5
13,7,1,12,4,3,9,8,15,14,10,5,11,6,2
9,1,4,12,14,5,10,6,15,11,8,2,13,3,7
11,2,7,9,14,1,8,3,10,4,6,15,5,13,12
1,4,10,6,3,7,12,15,8,14,13,11,9,2,5
10,13,15,11,8,14,12,5,2,6,4,1,3,7,9
7,4,1,12,15,8,10,6,11,3,14,13,9,2,5
4,11,14,2,8,12,6,10,15,3,5,13,9,1,7
10,6,11,2,5,8,15,13,4,12,1,3,7,9,14
10,6,11,2,5,8,15,13,4,12,1,3,7,9,14
7,13,15,1,8,3,9,14,4,2,11,12,6,5,10
10,6,11,2,5,8,15,13,4,12,1,3,7,9,14
10,6,11,2,5,8,15,13,4,12,1,3,7,9,14
9,1,4,12,14,5,10,6,11,3,7,13,2,15,8
10,6,11,2,5,8,15,13,4,12,1,3,7,9,14
4,10,15,11,8,14,12,5,2,6,13,9,3,1,7
