3,12,13,4,1,11,6,7,5,10,9,15,14,8,2
12,14,11,2,3,1,6,10,5,4,9,7,8,13,15
5,9,8,12,6,4,13,15,14,11,3,10,7,2,1
15,13,12,2,11,14,5,4,7,1,6,3,9,8,10
1,5,10,3,4,14,13,7,2,11,6,12,8,15,9
3,6,1,8,2,13,11,9,12,5,15,14,10,4,7
5,6,12,13,9,8,2,15,1,7,10,4,14,11,3
11,15,1,8,7,5,4,9,2,6,3,14,10,13,12
15,10,14,12,2,5,3,8,1,7,9,13,11,6,4
12,10,13,11,8,14,5,3,9,15,7,1,2,6,4
9,1,13,8,3,4,7,14,10,15,12,6,11,2,5
4,7,11,1,8,14,6,10,12,3,9,2,15,13,5
12,14,15,4,10,7,13,5,9,2,8,1,3,11,6
3,12,8,15,4,14,2,9,7,5,6,1,11,10,13
13,14,11,10,1,3,15,4,7,6,8,2,12,5,9
1,7,12,8,6,3,2,14,5,4,10,13,9,15,11
8,13,11,2,4,14,12,15,1,3,10,7,9,6,5
6,1,7,13,2,11,4,3,14,15,12,5,10,8,9
8,10,13,6,7,3,12,9,5,4,2,1,15,14,11
3,9,6,5,14,8,10,15,13,4,2,11,12,7,1
13,8,4,14,10,12,5,3,9,15,7,1,2,6,11
10,12,13,11,8,14,5,3,9,15,7,1,2,6,4
10,12,8,13,11,14,5,3,9,15,7,1,2,6,4
3,4,14,2,9,7,5,1,11,10,6,12,8,15,13
10,6,12,13,9,8,2,15,11,14,5,3,7,1,4
12,13,8,5,9,15,1,2,6,7,10,4,14,11,3
3,12,8,15,4,14,2,9,7,5,6,1,11,10,13
15,10,14,12,2,5,3,8,1,7,9,13,11,6,4
3,12,13,4,1,11,6,7,5,10,9,15,14,8,2
12,14,11,2,3,1,6,10,5,4,9,7,8,13,15
3,12,13,4,1,11,6,7,5,10,9,15,14,8,2
3,12,13,4,1,11,6,7,5,10,9,15,14,8,2
1,7,12,8,6,3,2,14,5,4,10,13,9,15,11
1,5,10,3,4,14,13,7,2,11,6,12,8,15,9
3,12,8,15,4,14,2,9,7,5,6,1,11,10,13
8,10,13,6,7,3,12,9,5,4,2,1,15,14,11
9,1,13,8,3,4,7,14,10,15,12,6,11,2,5
5,6,12,13,9,8,2,15,1,7,10,4,14,11,3
1,5,10,3,4,14,13,7,2,11,6,12,8,15,9
3,12,13,4,1,11,6,7,5,10,9,15,14,8,2
